lat,lng,bank,tail3,trans,note,pic,district,ward,street
21.063184285714282,105.71720642857143,MBB,488,36,,thao.nguyen43,Huyện Hoài Đức,,Đường Tây Lai Xá
21.046443888888891,105.87106,TCB,357,47,Khách đã có loa rồi,ngoc.nguyen26,Quận Long Biên,,Đường Ngọc Lâm
20.96632375,105.7900175,VPB,984,85,Đây là nhà ăn của Học Viện Quân Y,dung.vu3,Quận Hà Đông,,Đường Phùng Hưng
20.994912,105.72971799999999,MBB,324,15,,,Huyện Hoài Đức,Xã An Khánh,Đường An Trường
21.013125,105.85825750000001,ABB,998,10,,,Quận Hai Bà Trưng,Phường Đống Mác,Phố Lò Đúc
21.020539642857141,105.76633607142855,VTB,623,86,,phat.nguyen7,Quận Nam Từ Liêm,,Đường Lê Đức Thọ
21.013388552631582,105.83195710526314,MBB,336,238,,,Quận Đống Đa,,Ngõ Xã Đàn 2
20.989405454545452,105.78729181818183,TCB,17,36,,cong.nguyen3,Quận Nam Từ Liêm,,Đường Trung Văn
21.037039375,105.78599,TCB,754,40,,,Quận Cầu Giấy,,Phố Phan Văn Trường
20.986567333333337,105.79398933333333,TCB,15,56,,,Quận Nam Từ Liêm,,Ngõ 30 Phùng Khoang
21.026945,105.82562250000001,TCB,135,15,,hai.le8,Quận Đống Đa,Phường Ô Chợ Dừa,Phố Vũ Thạnh
21.1721125,105.85647583333333,MBB,314,52,,,Huyện Đông Anh,,Đường Uy Nỗ
21.017976956521743,105.85156739130434,VTB,890,74,,,Quận Hai Bà Trưng,,Phố Lê Văn Hưu
21.050107586206895,105.78465172413793,MBB,63,144,,phat.nguyen7,Quận Bắc Từ Liêm,,Phố Tôn Quang Phiệt
20.979341818181819,105.79880181818181,TCB,316,26,,quyet.do,Huyện Thanh Trì,Xã Tân Triều,Ngõ 138 Tân Triều
20.998211730769231,105.82621096153846,BIDV,817,103,,,Quận Thanh Xuân,,Phố Nguyễn Ngọc Nại
21.033317272727274,105.7867090909091,TCB,431,29,,,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Ngõ 44 Phố Trần Thái Tông
21.036628333333333,105.78403666666667,BIDV,121,50,Mc đã có loa của bank,bao.pham1,Quận Cầu Giấy,,Đường Xuân Thủy
21.020825199999997,105.77590760000001,TCB,979,91,,,Quận Nam Từ Liêm,,Ngõ 37 Thiên Hiền
21.061721428571428,105.72196142857142,VPB,XL8,39,,thao.nguyen43,Huyện Hoài Đức,,Đường Vạn Xuân
20.985281250000003,105.871215,TCB,15,19,,anh.nguyen91,Quận Hoàng Mai,Phường Vĩnh Hưng,Đường Lĩnh Nam
21.030675000000002,105.7779075,ABB,59,14,,,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Ngõ 2 Nguyễn Hoàng
20.978676666666669,105.78538333333333,MBB,10,18,,,Quận Hà Đông,Phường Mộ Lao,Ngõ 102 Trần Phú
21.021472000000003,105.76191399999999,VTB,F11,13,,phat.nguyen7,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Ngách 47 Ngõ 16 Phố Đỗ Xuân Hợp
21.007239130434783,105.93691826086958,MBB,4,76,,,Huyện Gia Lâm,,Đường Trâu Quỳ
21.006638292682926,105.80238341463415,TCB,355,85,,,Quận Cầu Giấy,,Phố Nguyễn Thị Thập
20.97261,105.81982833333333,MBB,705,20,,,Quận Hoàng Mai,Phường Đại Kim,Đường Nghiêm Xuân Yêm
20.966888333333333,105.87006666666666,MBB,506,11,,,Quận Hoàng Mai,Phường Yên Sở,Phố Yên Sở
21.060315714285714,105.78206642857143,TPB,231,35,,doan.ngo,Quận Bắc Từ Liêm,,Đường Cổ Nhuế
20.979830333333332,105.81572500000001,MBB,822,76,,anh.vu10,Quận Hoàng Mai,,Ngõ 120 Kim Giang
20.982024444444445,105.87964833333334,MBB,728,47,,truong.duong,Quận Hoàng Mai,,Đường Lĩnh Nam
21.12932375,105.78307625,BIDV,231,36,,,Huyện Đông Anh,,Ngõ 7 Đa Lộc
21.121375624999995,105.788515625,SACOM,558,64,,anh.nguyen93,Huyện Đông Anh,,Đường Anh Dũng
20.990060105633805,105.79477017605636,BIDV,807,770,,,Quận Nam Từ Liêm,,Ngõ 205 Đường Lương Thế Vinh
21.036474782608696,105.80274434782609,MBB,519,90,,nhi.vu1,Quận Cầu Giấy,,Ngõ 58 Đường Nguyễn Khánh Toàn
20.98376142857143,105.87461428571429,MBB,294,18,,anh.nguyen91,Quận Hoàng Mai,Phường Vĩnh Hưng,Phố Vĩnh Hoàng
21.073867777777778,105.70079111111112,TCB,186,30,,,Huyện Đan Phượng,,Vạn Xuân
21.00588375,105.81314,MBB,932,19,,,Quận Thanh Xuân,Phường Nhân Chính,Ngõ 53 Phố Quan Nhân
21.04762,105.80621,not defined or m2m,688,73,Khách dùng loa bank,dat.tran8,Quận Tây Hồ,,Đường Lạc Long Quân
21.019827959183676,105.80295836734695,MBB,830,116,,tien.truong,Quận Đống Đa,,Ngõ 850 Đường Láng
21.038056521739126,105.77143130434783,TCB,19,59,,nhi.vu1,Quận Cầu Giấy,,Đường Hồ Tùng Mậu
20.994716,105.77520799999999,VTB,860,16,,,Quận Nam Từ Liêm,Phường Trung Văn,Ngõ 28 Phố Đại Linh
21.01747588235294,105.84006882352942,TCB,564,26,,hung.nguyen27,Quận Đống Đa,Phường Khâm Thiên,Ngõ 1 Phố Khâm Thiên
20.979879387755105,105.79438530612246,TCB,335,128,,vinh.nguyen12,Quận Hà Đông,,Đường 19 Tháng 5
21.044420000000002,105.837345,TPB,914,13,,,Quận Ba Đình,Phường Trúc Bạch,Phố Trấn Vũ
21.008051176470588,105.82254764705883,BIDV,277,41,,minh.nguyen24,Quận Đống Đa,,Ngách 59 Ngõ 252 Tây Sơn
21.009115416666667,105.79514583333334,ACB,187,56,,,Quận Cầu Giấy,,Ngõ 2 Phố Nguyễn Chánh
21.0143125,105.81916375,BIDV,666,35,,,Quận Đống Đa,,Phố Hoàng Cầu
20.991875833333332,105.85892166666666,VPB,VA1,41,,anh.vu10,Quận Hoàng Mai,,Ngõ 254 Minh Khai
20.992114,105.72975199999999,TCB,18,13,,,Huyện Hoài Đức,Xã An Khánh,Đường An Trường
20.995281864406781,105.80663050847457,TCB,901,152,,,Quận Thanh Xuân,,Ngõ 336 Đường Nguyễn Trãi
20.968968205128203,105.76057641025641,BIDV,550,102,,vinh.nguyen12,Quận Hà Đông,,Phố Ngô Đình Mẫn
21.003358333333331,105.85117333333334,VTB,662,11,,vinh.nguyen12,Quận Hai Bà Trưng,Phường Thanh Nhàn,Phố Bạch Mai
21.033699019607841,105.83145960784314,MSB,352,128,,hai.le8,Quận Ba Đình,,Phố Ngọc Hà
20.894889444444441,105.76602611111112,TCB,197,46,,,Huyện Thanh Oai,,Đường Lạc Long Quân
21.00906,105.72139,TPB,868,12,,,Huyện Hoài Đức,Xã An Khánh,Thăng Long Victory
20.990540384615386,105.85364692307694,MBB,812,86,,truong.duong,Quận Hoàng Mai,,Đường Hoàng Mai
21.273545,105.750075,TCB,969,11,Khách có loa ngân hàng rồi,hiep.nguyen2,Huyện Sóc Sơn,Xã Minh Phú,Đường liên thôn xã Minh Trí
20.999492,105.80980600000001,BIDV,925,11,,,Quận Thanh Xuân,Phường Nhân Chính,Phố Quan Nhân
21.043613333333333,105.84639,TCB,683,16,,,Quận Ba Đình,Phường Nguyễn Trung Trực,Phố Nguyễn Khắc Nhu
21.03720625,105.7641325,VCB,486,31,,cong.nguyen3,Quận Nam Từ Liêm,,Ngõ 65 Phố Nguyễn Đổng Chi
20.986696666666667,105.79395666666667,TCB,11,10,,,Quận Nam Từ Liêm,Phường Trung Văn,Ngõ 30 Phùng Khoang
21.037765714285712,105.80797428571429,MBB,255,17,,,Quận Ba Đình,Phường Vĩnh Phúc,Ngõ 465 Đội Cấn
21.002257777777778,105.85085444444444,ACB,7BM,39,,,Quận Hai Bà Trưng,,Phố Bạch Mai
20.986688,105.868808,TCB,343,17,,anh.nguyen91,Quận Hoàng Mai,Phường Vĩnh Hưng,Đường Lĩnh Nam
21.039177142857138,105.84812339285715,MBB,152,136,,thuong.nguyen9,Quận Hoàn Kiếm,,Phố Hàng Giấy
20.988915,105.84817916666667,TCB,139,33,,anh.vu10,Quận Hoàng Mai,,Ngõ 281 Đường Trương Định
20.980669999999996,105.895646,TCB,308,11,,anh.nguyen91,Quận Hoàng Mai,Phường Lĩnh Nam,Ngõ 49 Phố Thúy Lĩnh
21.033649230769235,105.73877692307693,TCB,533,45,,,Quận Nam Từ Liêm,,Ngõ 273 Xuân Phương
21.033783684210519,105.85201578947368,VCB,972,37,,thuong.nguyen9,Quận Hoàn Kiếm,,Phố Đinh Liệt
21.070225454545458,105.78664363636364,MBB,294,32,Khách không có nhu cầu dùng,tan.nguyen15,Quận Bắc Từ Liêm,,Ngõ 401 Đường Xuân Đỉnh
20.992937692307695,105.83686153846153,VTB,343,51,,hai.le8,Quận Thanh Xuân,,Cầu Vượt Sông Lừ
20.8078975,105.77656999999999,TCB,633,11,,,Huyện Thanh Oai,Xã Dân Hòa,Quốc lộ 21B
20.980106111111112,105.74398555555554,TCB,292,103,,vinh.nguyen12,Quận Hà Đông,,Đường Lê Trọng Tấn
20.99014375,105.80398749999998,BIDV,769,68,,cong.lan,Quận Thanh Xuân,,Đường Nguyễn Xiển
20.996257142857139,105.75605714285713,MBB,258,30,,cong.nguyen3,Quận Nam Từ Liêm,,Đường Quang Tiến
21.054358235294117,105.90344764705883,MBB,36,49,Tạp hoá Hùng Châm  KCNC,huy.le16,Quận Long Biên,,Phố Việt Hưng
21.049833333333332,105.868945,BIDV,42,25,Không có nhu cầu,phuong.pham10,Quận Long Biên,Phường Ngọc Thụy,Phố Nguyễn Thế Rục
21.010180769230764,105.9367676923077,TCB,151,51,,ngoc.nguyen26,Huyện Gia Lâm,,Ngách 367/21 phố Ngô Xuân Quảng
21.071572222222223,105.77333277777777,not defined or m2m,971,73,,phat.nguyen7,Quận Bắc Từ Liêm,,Phố Viên
20.996080526315787,105.94472052631579,TCB,638,47,,ngoc.nguyen26,Huyện Gia Lâm,,Hải Đăng 1
20.995183571428569,105.874085,OCB,216,36,,,Quận Hai Bà Trưng,,Phố Dương Văn Bé
20.989733333333337,105.84739750000001,VCB,45,22,,,Quận Hoàng Mai,Phường Tương Mai,Đường Trương Định
21.12643416666667,105.77658583333331,BIDV,921,50,Không tìm thấy,anh.nguyen93,Huyện Đông Anh,,Cổng Si
21.007870476190476,105.81412761904762,MBB,684,58,,cong.lan,Quận Thanh Xuân,,Ngõ 1 Phố Quan Nhân
21.014773333333334,105.809845,TCB,75,11,,,Quận Đống Đa,Phường Láng Hạ,Phố Vũ Ngọc Phan
20.952168055555557,105.75713361111112,BIDV,942,119,,,Quận Hà Đông,,Phố Ba La
20.964008181818183,105.79523727272728,VCB,759,27,,quyet.do,Huyện Thanh Trì,Xã Tân Triều,Đường Phùng Hưng
21.023566363636366,105.79341545454545,MBB,636,34,,,Quận Cầu Giấy,,Phố Yên Hòa
20.964594375000004,105.82081562500001,TCB,475,44,,,Quận Hoàng Mai,,Phố Bùi Quốc Khái
21.001002,105.85895599999999,MBB,690,14,,,Quận Hai Bà Trưng,Phường Quỳnh Mai,Phố Quỳnh Mai
21.037906363636367,105.77747636363635,TCB,16,28,,dat.tran8,Quận Cầu Giấy,Phường Mai Dịch,Ngõ 66 Đường Hồ Tùng Mậu
21.011246666666668,105.93561259259259,BIDV,798,83,,,Huyện Gia Lâm,,Phố Thành Trung
21.04548,105.76865857142859,BIDV,785,20,,,Quận Nam Từ Liêm,Phường Cầu Diễn,Ngõ 332 Đường Hoàng Công Chất
20.972481111111112,105.74552777777778,MBB,352,60,,dung.vu3,Quận Hà Đông,,Phố Ỷ La
20.954904444444445,105.84123333333332,TPB,225,29,,truong.duong,Huyện Thanh Trì,Thị trấn Văn Điển,Đường Tựu Liệt
20.978454285714285,105.79691178571429,TCB,970,62,,quyet.do,Huyện Thanh Trì,,Đường Chiến Thắng
21.004565272727273,105.8324521818182,MBB,80,133,,,Quận Đống Đa,,Ngõ 43 Phố Đông Tác
20.974011176470587,105.84136647058824,MBB,6,37,,dung.vu2,Quận Hoàng Mai,,Phố Thịnh Liệt
21.006758235294118,105.80253176470586,VPB,231,40,,,Quận Cầu Giấy,,Phố Nguyễn Thị Thập
21.03454375,105.82678437500002,MBB,760,40,,hai.le8,Quận Ba Đình,,Ngõ 140 Đội Cấn
21.041242285714286,105.78264800000001,BIDV,101,75,,,Quận Cầu Giấy,,Ngõ 215 Phố Trần Quốc Hoàn
21.055181111111114,105.74008666666667,SACOM,542,29,,phat.nguyen7,Quận Bắc Từ Liêm,Phường Minh Khai,Phố Nguyên Xá
20.96566,105.7824025,TCB,666,14,,vinh.nguyen12,Quận Hà Đông,Phường Hà Cầu,Phố Hà Trì
21.003023,105.862678,BIDV,40,61,,hung.nguyen27,Quận Hai Bà Trưng,,Ngõ 325 Phố Kim Ngưu
21.032536,105.84891999999999,BIDV,960,11,,,Quận Hoàn Kiếm,Phường Hàng Gai,Phố Hàng Quạt
21.025030526315785,105.89536342105262,VTB,886,107,,ngoc.nguyen26,Quận Long Biên,,Cầu Vĩnh Tuy
20.9877075,105.76177166666666,VPB,883,30,,phat.nguyen7,Quận Nam Từ Liêm,,Phố Lê Giản
20.994293333333331,105.80317333333333,VTB,503,11,,,Quận Thanh Xuân,Phường Thanh Xuân Trung,Ngõ 12 Khuất Duy Tiến
21.035623243243244,105.77614283783784,BIDV,464,207,,nhi.vu1,Quận Cầu Giấy,,Ngõ 75 Đường Hồ Tùng Mậu
21.040441818181819,105.76533090909092,OJB,888,20,,,Quận Nam Từ Liêm,Phường Cầu Diễn,Đường Hồ Tùng Mậu
21.040822037037035,105.78395296296296,TCB,297,135,,,Quận Cầu Giấy,,Ngõ 199 Trần Quốc Hoàn
20.99732,105.823966,TCB,471,14,,hai.le8,Quận Thanh Xuân,Phường Khương Trung,Phố Hoàng Văn Thái
21.039814615384614,105.75940307692308,MBB,300,24,,,Quận Bắc Từ Liêm,Phường Phúc Diễn,Đường Phúc Diễn
21.04775,105.74766,VPB,877,16,,,Quận Bắc Từ Liêm,Phường Phúc Diễn,Ngõ 74
20.96542,105.87418142857143,BIDV,654,17,,,Quận Hoàng Mai,Phường Yên Sở,Phố Yên Duyên
20.99101,105.86171499999999,TCB,575,33,,,Quận Hoàng Mai,,Phố Mai Động
21.00706692307692,105.82101307692309,TCB,112,34,Không gặp chủ,hung.nguyen27,Quận Đống Đa,,Ngõ 35 Thái Thịnh
20.96825625,105.77856249999999,TCB,857,35,,,Quận Hà Đông,,Phố Tản Đà
21.080459411764707,105.77802588235295,TCB,885,58,Không có nhu cầu,doan.ngo,Quận Bắc Từ Liêm,,Đường Đức Thắng
21.051424060606063,105.73914842424242,VPB,553,452,,,Quận Bắc Từ Liêm,,Ngõ 134 Đường Cầu Diễn
21.028214444444444,105.94080888888888,SACOM,835,30,,,Huyện Gia Lâm,,Đường Cổ Bi
21.03072090909091,105.77770909090908,MBB,261,30,,,Quận Nam Từ Liêm,,Ngõ 2 Nguyễn Hoàng
21.046662142857141,105.87330142857142,TCB,529,43,,ngoc.nguyen26,Quận Long Biên,,Ngách 298/20 Đường Ngọc Lâm
21.019233333333332,105.80518000000001,BIDV,6,14,,,Quận Đống Đa,Phường Láng Thượng,Phố Pháo Đài Láng
21.010613333333335,105.76832,TCB,311,11,,bao.pham1,Quận Nam Từ Liêm,Phường Phú Đô,Ngõ 34 Phố Phú Đô
21.05566,105.78534125,BIDV,272,22,,tan.nguyen15,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,Phố Trần Cung
21.129158333333333,105.78210250000001,MBB,932,66,,,Huyện Đông Anh,,Đường Xóm Thọ
20.995551600000002,105.7560672,TCB,967,68,,phat.nguyen7,Quận Nam Từ Liêm,,Đường Đại Mỗ
21.052205,105.80920642857143,BIDV,549,34,,dat.tran8,Quận Tây Hồ,,Phố Võng Thị
21.013332777777777,105.80079629629628,VPB,768,121,,phuong.nguyen44,Quận Cầu Giấy,,Phố Trung Kính
20.986924615384616,105.81337692307692,VPB,C18,69,,hai.le8,Quận Thanh Xuân,,Đường Khương Đình
21.02299727272727,105.81181181818182,TCB,59,36,,,Quận Đống Đa,,Phố Nguyên Hồng
21.040916551724141,105.78398379310342,MBB,9,111,,,Quận Cầu Giấy,,Ngõ 199 Trần Quốc Hoàn
21.111298888888886,105.87708666666667,MBB,538,46,,,Huyện Đông Anh,,Ngõ 24 Đường Cổ Loa
21.004313678160923,105.82980689655173,MBB,834,220,,,Quận Đống Đa,,Phố Tam Khương
21.014923333333332,105.92585444444445,MBB,999,17,,hung.nguyen27,Huyện Gia Lâm,Thị trấn Trâu Quỳ,Cầu An Lạc
21.04488,105.7673175,TCB,210,21,,,Quận Nam Từ Liêm,Phường Cầu Diễn,Đường Hoàng Công Chất
21.03406,105.83251,BIDV,918,15,,,Quận Ba Đình,Phường Điện Biên,Ngõ 77 Lê Hồng Phong
20.958908139534884,105.74782930232556,TCB,267,91,,dung.vu3,Quận Hà Đông,,Đường Quyết Thắng
21.010584545454545,105.8309490909091,TCB,144,38,,,Quận Đống Đa,,Phố Đặng Văn Ngữ
21.037927894736839,105.80254263157896,VPB,158,37,Khong lap,phuong.nguyen44,Quận Cầu Giấy,,Ngõ 92 Nguyễn Khánh Toàn
20.991385555555553,105.84967055555556,MBB,0,49,,hung.nguyen27,Quận Hai Bà Trưng,,Ngõ 129 Đường Trương Định
21.061204285714286,105.831855,TCB,824,35,,dat.tran8,Quận Tây Hồ,,Phố Từ Hoa
21.001335441176472,105.81834558823532,TCB,19,146,,,Quận Thanh Xuân,,Phố Khương Trung
21.047446153846153,105.76334923076924,TPB,777,34,,doan.ngo,Quận Bắc Từ Liêm,,Đường Phú Diễn
21.040836249999998,105.77644,SeABank,261,18,,dat.tran8,Quận Cầu Giấy,Phường Mai Dịch,Ngõ 169 Phố Doãn Kế Thiện
21.011255,105.85654,VPB,798,13,,,Quận Hai Bà Trưng,Phường Đồng Nhân,Phố Hương Viên
21.018601428571429,105.81082357142856,NAB,202,30,,,Quận Đống Đa,,Phố Huỳnh Thúc Kháng
21.030017346938777,105.7995724489796,VPB,W9J,119,Ko lắp,phuong.nguyen44,Quận Cầu Giấy,,Ngõ 79 Đường Cầu Giấy
20.97909,105.84215,TPB,666,25,,truong.duong,Quận Hoàng Mai,Phường Giáp Bát,Ngõ 897 Giải Phóng
21.023249230769231,105.79532230769232,MBB,582,66,,,Quận Cầu Giấy,,Phố Yên Hòa
21.090051666666668,105.90500166666666,TCB,999,21,,,Huyện Gia Lâm,Xã Yên Thường,Đường Yên Thường
21.0233015,105.80717750000001,MBB,294,70,,,Quận Đống Đa,,Phố Chùa Láng
20.983175,105.82097833333333,TCB,531,32,siêu thị tiện lợi d&h 357 bùi xương trạch  dùng loa tech,dung.vu2,Quận Hoàng Mai,,Phố Bùi Xương Trạch
20.983258658536588,105.80145475609757,MBB,687,240,,,Huyện Thanh Trì,,Ngõ 111 Triều Khúc
21.01233625,105.828518125,OCB,72,46,,minh.nguyen24,Quận Đống Đa,,Ngõ 119 Hồ Đắc Di
20.998945666666668,105.80286966666667,MBB,886,67,,,Quận Thanh Xuân,,Đường Nguyễn Tuân
21.087461111111107,105.78698444444444,MBB,718,101,,phat.nguyen7,Quận Bắc Từ Liêm,,Phố Nhật Tảo
20.998737058823526,105.84746352941177,VTB,122,150,,,Quận Hai Bà Trưng,,Ngõ Tự Do
21.05872125,105.80869874999999,MBB,798,29,,,Quận Cầu Giấy,Phường Nghĩa Đô,Đường Lạc Long Quân
20.980128235294117,105.74400264705882,MBB,999,103,,vinh.nguyen12,Quận Hà Đông,,Đường Lê Trọng Tấn
20.873245,105.86060555555555,TCB,255,54,Mc đã.có loa,anh.nguyen85,Huyện Thường Tín,,Phố Nguyễn Phi Khanh
20.964921818181818,105.82672727272727,MBB,546,34,,,Quận Hoàng Mai,,Phố Nguyễn Phan Chánh
20.999542380952381,105.49251190476191,BIDV,242,66,,tuan.tran8,Huyện Thạch Thất,,Tuyến số 04
21.052062,105.780779,MBB,44,22,,tan.nguyen15,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Số 4
20.982936521739127,105.79825913043477,MBB,815,43,,,Huyện Thanh Trì,,Ngõ 64 Triều Khúc
20.993024347826086,105.82936695652174,TCB,147,85,,anh.vu10,Quận Hoàng Mai,,Ngõ 192 Lê Trọng Tấn
